id	formula_molekul	kandungan_atom	energy
86	H4C4O2	OCCOCCHHHH	-305.123605
87	H4C3O3	COCOCOHHHH	-342.322736
88	H4C3O3	OCCOCOHHHH	-342.291172
89	H4C3O3	OCCOCOHHHH	-342.309972
90	H3C3N1O2	OCCNCOHHH	-321.26687
91	H4C3O3	OCCOCOHHHH	-342.330282
92	H4C3O3	OCOCCOHHHH	-342.34739
93	H2C6	CCCCCCHH	-229.609222
94	H1C5N1	CCCCCNH	-245.706152
95	C4N2	CCCCNN	-261.79743
96	H2C5O1	OCCCCCHH	-266.77129
97	H1C4N1O1	OCCCCNH	-282.865901
98	H4C3N2O1	OCNCCNHHHH	-301.375865
99	H3C3N1O2	OCOCCNHHH	-321.241236
100	H4C5O1	OCCCCCHHHH	-267.956622
101	H4C4O2	OCCCCOHHHH	-305.123003
102	H4C4O2	OCCOCCHHHH	-305.032628
103	H4C4O2	OCCCOCHHHH	-305.053089
104	H4C4N2	CCNNCCHHHH	-264.222683
105	H3C3N3	CCNNNCHHH	-280.244113
106	H2C2N4	CNNCNNHH	-296.281268
107	H2C2N4	CNNNCNHH	-296.292265
108	H2C2N4	CNNNNCHH	-296.261303
109	H4C3N2O1	CCCNNOHHHH	-301.330443
110	H4C3N2O1	CCCONNHHHH	-301.327367
111	H4C3N2O1	CCNCNOHHHH	-301.354167
112	H4C2N4	CCNNNNHHHH	-297.518433
113	H3C2N3O1	CCNONNHHH	-317.356099
114	H4C2N4	CNNCNNHHHH	-297.511409
115	H3C1N5	CNNNNNHHH	-313.532152
116	H3C2N3O1	NCCNNOHHH	-317.381399
117	H4C2N4	NCCNNNHHHH	-297.518606
118	H4C2N4	NCNCNNHHHH	-297.549748
119	H3C2N3O1	NCNCNOHHH	-317.409159
120	H4C2N4	NCNNCNHHHH	-297.550925
121	H4C2N4	NCNNNCHHHH	-297.525359
122	H3C1N5	NCNNNNHHH	-313.56915
123	H4C3N2O1	NCNOCCHHHH	-301.336451
124	H3C2N3O1	NCNONCHHH	-317.359794
125	H2C1N4O1	NCNONNHH	-333.406666
126	H3C2N3O1	OCNCNNHHH	-317.44298
127	H1C1N3O2	OCNNNOH	-353.31678
128	H1C2N1O3	OCOCNOH	-357.167571
129	C1N2O3	OCONNO	-373.16979
130	H4C3N2O1	OCCCNNHHHH	-301.358611
131	H4C3N2O1	OCCNNCHHHH	-301.352423
132	H4C3N2O1	OCNNCCHHHH	-301.364445
133	H3C2N3O1	OCNNCNHHH	-317.428506
134	H2C1N4O1	OCNNNNHH	-333.444983
135	H3C3N1O2	OCNOCCHHH	-321.215152
136	H2C2N2O2	OCNOCNHH	-337.279525
137	H1C1N3O2	OCNONNH	-353.279122
138	C2N1F3	FCFFCN	-430.442982
139	H1C2O1F3	FCFFCOH	-451.523486
140	H3C2O1F3	OCCFFFHHH	-452.721943
141	H3C3N1O3	OCCNCOOHHH	-396.491977
142	H2C3O4	OCCOCOOHH	-416.36152
143	H2C3N2O2	OCNCOCNHH	-375.405204
144	H3C3N3O1	NCOCNCNHHH	-355.511553
145	H3C4N1O2	OCOCCNCHHH	-359.346295
146	H3C4N1O2	OCOCNCCHHH	-359.363934
147	H2C3N2O2	OCOCNCNHH	-375.415714
148	H3C5N1O1	CCCCNCOHHH	-322.167108
149	H3C5N1O1	CCCNCCOHHH	-322.16418
150	H3C4N3	NCCCNCNHHH	-318.404445
151	H2C4N2O1	NCCCNCOHH	-338.268017
152	H3C4N3	NCCNCCNHHH	-318.401195
153	H2C4N2O1	NCCNCCOHH	-338.263825
154	H3C5N1O1	CCCCOCNHHH	-322.165034
155	H3C4N3	NCCCNCNHHH	-318.404343
156	H3C5N1O1	NCOCCCCHHH	-322.142692
157	H3C4N1O2	NCOCCCOHHH	-359.306583
158	H3C5N1O1	OCCCCCNHHH	-322.148109
159	H3C5N1O1	OCCCNCCHHH	-322.154824
160	H2C4N2O1	OCCCNCNHH	-338.25117
161	H3C4N1O2	OCCOCCNHHH	-359.321571
162	H2C3N2O2	NCOCOCNHH	-375.38817
163	H3C4N1O2	NCOCOCCHHH	-359.290584
164	H2C3N2O2	NCOCOCNHH	-375.386992
165	H3C4N1O2	OCNCOCCHHH	-359.310041
166	H3C3N1O3	OCNCOCOHHH	-396.479459
167	H3C5N1O1	CCCCOCNHHH	-322.15959
168	H3C4N1O2	CCOCOCNHHH	-359.332572
169	H3C4N1O2	NCOCOCCHHH	-359.310674
170	H3C3N1O3	NCOCOCOHHH	-396.479503
171	H3C4N1O2	NCOCOCCHHH	-359.36354
172	H3C3N1O3	NCCOCOOHHH	-396.502087
173	H3C4N1O2	OCNCCCOHHH	-359.356349
174	H2C4N2O1	OCCCNCNHH	-338.240989
175	H3C4N3	NCCCNCNHHH	-318.333317
176	H2C4N2O1	NCCCOCNHH	-338.208157
177	H3C4N1O2	OCCCOCNHHH	-359.288646
178	H3C6N1	CCCCCCNHHH	-284.986669
179	H3C6N1	CCCCCCNHHH	-284.980849
180	H2C5N2	NCCCCCNHH	-301.08422
181	H3C5N1O1	OCCCCCNHHH	-322.151462
182	H3C5N1O1	OCCCCCNHHH	-322.161967
183	H3C6N1	CCCCCCNHHH	-285.009105
184	H3C4N1O2	OCCOCCNHHH	-359.298799
185	H3C4N1O2	OCCNCCOHHH	-359.29191
186	H3C5N1O1	NCCCCCOHHH	-322.124301
187	H3C5N1O1	CCCCCNOHHH	-322.130368
188	H3C4N3	CCCCNNNHHH	-318.315953
189	H3C5N1O1	CCCCONCHHH	-322.130212
190	H2C4N2O1	CCCNCNOHH	-338.190085
191	H3C4N3	CCCNNCNHHH	-318.33941
192	H3C4N3	CCCNNNCHHH	-318.321532
193	H2C3N4	CCCNNNNHH	-334.35697
194	H3C5N1O1	CCCNOCCHHH	-322.127893
195	H2C4N2O1	CCCNONCHH	-338.151318
196	H1C3N3O1	CCCNONNH	-354.191762
197	H3C3N1O3	CCNOCOOHHH	-396.471352
198	H3C2N3O2	CNCONNOHHH	-392.545902
199	H3C4N3	NCCCCNNHHH	-318.385536
200	H2C4N2O1	NCCCCNOHH	-338.229774
201	H1C3N3O1	NCCCNNOH	-354.26739
202	H3C4N3	NCCCNNCHHH	-318.388668
203	H2C3N4	NCCCNNNHH	-334.419394
204	H2C4N2O1	NCCCONCHH	-338.233551
205	H1C3N3O1	NCCCONNH	-354.270546
206	H1C3N3O1	NCCNCNOH	-354.285702
207	H2C3N4	NCCNNCNHH	-334.442126
208	H2C4N2O1	NCCNOCCHH	-338.229406
209	H1C3N3O1	NCCNOCNH	-354.287433
210	H1C3N3O1	NCCNONCH	-354.249909
211	C2N4O1	NCCNONN	-370.286954
212	H3C3N3O1	NCCCONNHHH	-355.436965
213	H3C2N5	NCCNNNNHHH	-351.610013
214	H3C3N3O1	NCCNONCHHH	-355.41127
215	H2C2N4O1	NCCNONNHH	-371.443711
216	H3C2N5	NCNCNNNHHH	-351.633977
217	H1C1N5O1	NCNNONNH	-387.470305
218	H3C2N5	NCNNNCNHHH	-351.641162
219	H3C3N3O1	NCONCCNHHH	-355.452261
220	H3C3N3O1	NCONNCCHHH	-355.440906
221	H2C2N4O1	NCONNCNHH	-371.485589
222	H3C2N3O2	NCCONNOHHH	-392.59556
223	H3C2N5	NCCNNNNHHH	-351.622585
224	H3C2N5	NCNCNNNHHH	-351.660865
225	H3C2N3O2	NCNNCOOHHH	-392.666896
226	H3C2N3O2	NCNOCONHHH	-392.648066
227	H2C2N2O3	NCNOCOOHH	-412.522716
228	H2C3N2O2	OCCNOCNHH	-375.354066
229	C1N4O2	OCNNONN	-407.358989
230	H3C3N3O1	OCNNCCNHHH	-355.515019
231	H3C3N3O1	OCNNCNCHHH	-355.512683
232	H2C2N4O1	OCNNNCNHH	-371.5411
233	H3C4N1O2	OCONCCCHHH	-359.309996
234	H2C3N2O2	OCONCNCHH	-375.352401
235	H2C3N2O2	OCONNCCHH	-375.339618
236	H1C2N3O2	OCONNCNH	-391.385777
237	H3C4N1O2	OCCCCNOHHH	-359.304948
238	H2C3N2O2	OCCCNNOHH	-375.343035
239	H3C3N3O1	OCCCNNNHHH	-355.491416
240	H3C4N1O2	OCCCONCHHH	-359.307358
241	H2C3N2O2	OCCCONNHH	-375.345698
242	H2C3N2O2	OCCNCNOHH	-375.364682
243	H3C3N3O1	OCCNNNCHHH	-355.496567
244	H3C4N1O2	OCCNOCCHHH	-359.300767
245	H3C3N3O1	OCNCCNNHHH	-355.492468
246	H3C3N3O1	OCNCNCNHHH	-355.520145
247	H2C2N4O1	OCNNCNNHH	-371.536471
248	H3C3N3O1	OCCNCNNHHH	-355.503143
249	H2C2N4O1	OCCNNNNHH	-371.499605
250	H3C2N3O2	OCNCONNHHH	-392.656302
251	H2C2N4O1	OCNCNNNHH	-371.532929
252	H3C2N3O2	OCNNCONHHH	-392.670152
253	H2C2N2O3	OCNNCOOHH	-412.542359
254	H1C2N1O4	OCNOCOOH	-432.396621
255	H3C2N3O2	OCCNONNHHH	-392.559225
256	H3C4N2F1	FCCNCCNHHH	-363.503312
257	H3C4N2F1	FCCNCNCHHH	-363.499332
258	H3C4N2F1	FCNCCCNHHH	-363.514378
259	H2C3N3F1	FCNCNCNHH	-379.567741
260	H1C2N4F1	FCCNNNNH	-395.511002
261	H1C2N4F1	FCNCNNNH	-395.547064
262	H3C4F3	FCFFCCCHHH	-453.64765
263	H2C3N1F3	FCFFCCNHH	-469.752045
264	H3C3O1F3	FCFFCCOHHH	-490.825028
265	H3C3O1F3	CCOCFFFHHH	-490.827048
266	H2C3N2O3	NCOCOOCNHH	-450.642158
267	H2C3N2O3	OCNCONCOHH	-450.647212
268	H2C5O3	OCOCCOCCHH	-417.281752
269	H1C4N1O3	OCOCCOCNH	-433.379715
270	H2C4O4	OCCCOCOOHH	-454.458458
271	H2C4N2O2	OCCOCNCNHH	-413.486966
272	H2C4O4	OCOCCOCOHH	-454.452566
273	H2C4N4	NCCNCNCNHH	-372.545154
274	H2C4N2O2	OCCOCNCNHH	-413.493744
275	H2C4N2O2	OCNCCOCNHH	-413.462401
276	H2C4N4	NCCNCNCNHH	-372.484819
277	H2C5N2O1	OCCCCNCNHH	-376.26319
278	H2C4N2O2	OCCOCNCNHH	-413.452146
279	H2C6O2	OCCCCOCCHH	-380.069933
280	H1C5N1O2	OCCCCOCNH	-396.166604
281	H1C4N1O3	OCCOCOCNH	-433.332453
282	H2C4O4	OCCOCOCOHH	-454.404209
283	H2C7O1	OCCCCCCCHH	-342.908369
284	H1C6N1O1	OCCCCCCNH	-359.003363
285	H1C6N1O1	OCCNCCCCH	-359.006366
286	C5N2O1	OCCNCCCN	-375.097763
287	H2C4N2O2	OCOCCNCNHH	-413.478233
288	H1C5N1O2	OCCCCOCNH	-396.167097
289	H2C5O3	OCCCCOCOHH	-417.246118
290	H1C5N1O2	OCCOCCCNH	-396.172333
291	H1C7N1	CCCCCCCNH	-321.859002
292	C6N2	NCCCCCCN	-337.951981
293	H1C6N1O1	OCCCCCCNH	-359.018836
294	H2C6O2	OCCCCCCOHH	-380.08581
295	H2C4N4	CCCCNNNNHH	-372.399023
296	H2C4N4	CCCNCNNNHH	-372.428141
297	H2C3N2O3	COCNONCOHH	-450.511337
298	H2C4N4	NCCCNCNNHH	-372.506124
299	H2C4N4	NCCCNNCNHH	-372.50558
300	H2C4N4	NCCNCCNNHH	-372.504245
301	H2C2N6	NCCNNNNNHH	-405.757139
302	H2C3N4O1	NCNCCNNOHH	-409.609409
303	H2C2N6	NCNNNNNCHH	-405.772665
304	H2C3N4O1	NNCOCNCNHH	-409.623779
305	H2C3N4O1	NNCCCNNOHH	-409.587259
306	H2C2N6	NNNNNCNCHH	-405.776232
307	H2C2N4O2	NCNCONNOHH	-446.749156
308	H2C2N4O2	NCOCONNNHH	-446.765412
309	H1C2N3O3	NCOCOONNH	-466.617262
310	H2C3N2O3	NCOCNOCOHH	-450.571381
311	H2C3N2O3	NCONCCOOHH	-450.577812
312	H2C2N4O2	NCONNNCOHH	-446.716556
313	H2C2N4O2	NCONNOCNHH	-446.666195
314	H2C2N4O2	NCOCNONNHH	-446.697327
315	H2C1N6O1	NCONNNNNHH	-442.925301
316	H2C3N4O1	NCNCNOCNHH	-409.646114
317	H2C2N4O2	NCNCOONNHH	-446.759674
318	H2C3N4O1	NCNONCCNHH	-409.59942
319	H2C2N4O2	NCNONNCOHH	-446.6923
320	H2C4N2O2	OCCOCNCNHH	-413.430801
321	H2C4N2O2	OCCONNCCHH	-413.410601
322	H1C3N3O2	OCCONNCNH	-429.426659
323	H2C4N2O2	OCCCCNNOHH	-413.418947
324	H2C3N4O1	OCCNNNNCHH	-409.599094
325	H1C3N3O2	OCNCCNNOH	-429.470512
326	H2C4N2O2	OCNCCONCHH	-413.43153
327	H1C3N3O2	OCNCNONCH	-429.452638
328	H2C3N4O1	OCNNCNNCHH	-409.61317
329	H2C3N4O1	OCNNNCNCHH	-409.625034
330	H1C2N5O1	OCNNNNNCH	-425.631753
331	H1C3N3O2	ONNCCCNOH	-429.431255
332	H2C4N2O2	ONCCCONCHH	-413.400525
333	H2C3N4O1	ONCNCNNCHH	-409.595523
334	H2C3N4O1	ONCNNCNCHH	-409.610184
335	H1C2N5O1	ONCNNNNCH	-425.615165
336	H1C2N5O1	ONNNCNNCH	-425.610462
337	H1C2N5O1	ONNNNCNCH	-425.625308
338	H2C3N2O3	OCNCNOCOHH	-450.604025
339	H2C2N4O2	OCNNNNCOHH	-446.765389
340	C3N2O3	OCONCOCN	-449.396469
341	H2C3N4O1	OCCCNNNNHH	-409.568359
342	H2C3N4O1	OCCNCNNNHH	-409.601117
343	H1C3N1O4	OCCNOCOOH	-470.475677
344	H1C2N3O3	OCNNNOCOH	-466.634905
345	H2C3N2O3	OCOCNCNOHH	-450.597342
346	H2C3N2O3	OCOCNOCNHH	-450.598174
347	H1C2N3O3	OCOCNONNH	-466.596288
348	H2C2N4O2	OCNCNONNHH	-446.72487
349	H2C3N2O3	OCNCOCNOHH	-450.591532
350	H2C2N4O2	OCNCONNNHH	-446.783153
351	H2C3N2O3	OCNCNOCOHH	-450.592449
352	H2C2N4O2	OCNNCONNHH	-446.762749
353	H1C3N3O2	OCNOCNCNH	-429.512429
354	H2C3N2O3	OCNOCOCNHH	-450.582814
355	H2C3N2O3	OCNOCCONHH	-450.591037
356	H2C4N2O2	OCNOCCCNHH	-413.458025
357	H2C3N2O3	ONOCCNCOHH	-450.525428
358	H2C3N2O3	ONOCCOCNHH	-450.527647
359	H1C2N3O3	ONOCCNNOH	-466.521971
360	H1C2N3O3	ONOCCONNH	-466.527697
361	H2C2N4O2	ONOCNNCNHH	-446.699678
362	H2C2N4O2	ONOCNNNCHH	-446.682482
363	H2C3N2O3	ONOCNOCCHH	-450.487223
364	H1C2N3O3	ONOCNOCNH	-466.543002
365	H1C2N3O3	ONOCNONCH	-466.505862
366	C1N4O3	ONOCNONN	-482.540123
367	H2C4N1O2F1	FCCCONCOHH	-458.597729
368	H2C4N1O2F1	FCNCOCCOHH	-458.60266
369	H1C3N2O2F1	FCNCONCOH	-474.658737
370	H2C4N1O2F1	FCCCOOCNHH	-458.616467
371	H2C4N1O2F1	FCNCOOCCHH	-458.613697
372	H2C4N2F2	FCCCFNCNHH	-462.766039
373	H2C4N2F2	FCCNCCFNHH	-462.754119
374	H2C4N2F2	FCNCFNCCHH	-462.768376
375	H1C3N3F2	FCNCNCFNH	-478.824692
376	H2C4N1O2F1	FCCCNCOOHH	-458.609576
377	H2C4N1O2F1	FCCNCCOOHH	-458.594766
378	H2C4N1O2F1	FCNCCCOOHH	-458.618107
379	H2C4N2F2	FCCNCFCNHH	-462.752396
380	H2C4N2F2	FCCNCFNCHH	-462.753481
381	H2C4N1O2F1	FCCOCONCHH	-458.589749
382	H2C4N2F2	FCCNCNCFHH	-462.748643
383	H2C4N2F2	FCNCCNCFHH	-462.750814
384	H2C4N1O2F1	FCNCCOCOHH	-458.595837
385	H2C4N1O2F1	FCCCOCNOHH	-458.544253
386	H2C3N3O1F1	FCCCONNNHH	-454.740799
387	H2C4N1O2F1	FCCCOONCHH	-458.554164
388	H1C3N2O2F1	FCCCOONNH	-474.586021
389	H2C4N2F2	FCCNNCCFHH	-462.704867
390	H2C3N3O1F1	FCCNNNCOHH	-454.731217
391	H2C3N3O1F1	FCCNNOCNHH	-454.680665
392	H1C3N2O2F1	FCCNNOCOH	-474.578739
393	H2C4N1O2F1	FCCONCCOHH	-458.531185
394	H2C3N3O1F1	FCCONNCNHH	-454.671018
395	H2C3N3O1F1	FCNCNCNOHH	-454.715909
396	H2C2N5F1	FCNCNNNNHH	-450.896949
397	H1C3N2O2F1	FCNCOCNOH	-474.607336
398	H1C2N4O1F1	FCNCONNNH	-470.796833
399	H1C3N2O2F1	FCNCOONCH	-474.61
400	H2C3N3O1F1	FCNCNNCOHH	-454.765048
401	H2C3N3O1F1	FCNCNOCNHH	-454.707207
402	H1C3N2O2F1	FCNCNOCOH	-474.604238
403	H2C4N2F2	FCNNCFCCHH	-462.721363
404	H2C3N3O1F1	FCNNCONCHH	-454.758298
405	H1C3N2O2F1	FCNOCOCNH	-474.597871
406	H2C3N3O1F1	FCNOCNCNHH	-454.706232
407	H1C3N2O2F1	FCNOCNCOH	-474.59732
408	H2C3N3O1F1	FCNONCCNHH	-454.657535
409	H1C3N2O2F1	FCNONCCOH	-474.544632
410	H1C2N4O1F1	FCNONNCNH	-470.687257
411	C2N3O2F1	FCNONNCO	-490.574503
412	H2C3N1O1F3	OCCNCFFFHH	-544.957689
413	C3N1O1F3	FCFFCOCN	-543.75609
414	H1C4O1F3	FCFFCCCOH	-527.657917
415	H1C5N3O1	NCCCNCOCNH	-430.501542
416	H1C4N3O2	OCNCOCNCNH	-467.634747
417	H1C4N1O4	OCOCCONCOH	-508.576134
418	H1C4N3O2	OCOCNCNCNH	-467.64818
419	H1C6N3	CCCCNCNCNH	-393.270939
420	C5N4	NCCCNCNCN	-409.363317
421	H1C5N3O1	NCCOCCNCNH	-430.436498
422	H1C5N3O1	OCCCNCNCNH	-430.456646
423	H1C5N3O1	CCCCCNONNH	-430.342149
424	H1C5N3O1	CCCCNNOCNH	-430.409176
425	H1C5N3O1	CCCCONNCNH	-430.405373
426	H1C5N3O1	CCCNOCNCNH	-430.420805
427	H1C5N3O1	NCCCCCNNOH	-430.416628
428	H1C5N3O1	NCCCCCONNH	-430.418378
429	H1C5N3O1	NCCCCNCNOH	-430.435242
430	H1C5N3O1	NCCCCNOCNH	-430.435601
431	C4N4O1	NCCCNNOCN	-446.501142
432	H1C5N3O1	NCCCCNOCNH	-430.464466
433	H1C5N3O1	NCCCONCCNH	-430.46663
434	C4N4O1	NCCNCNOCN	-446.516377
435	C4N4O1	NCCNONCCN	-446.48046
436	H1C3N5O1	NCNNONCCNH	-463.676236
437	H1C3N5O1	ONNCNCNCNH	-463.686733
438	H1C4N3O2	OCCCCNONNH	-467.502043
439	H1C3N5O1	OCCCNNNNNH	-463.686442
440	H1C4N3O2	OCCNCCONNH	-467.583185
441	C3N4O2	OCCNCNONN	-483.596882
442	H1C3N5O1	OCCNNCNNNH	-463.762855
443	H1C3N5O1	OCCNNNCNNH	-463.763287
444	H1C4N3O2	OCCNONCCNH	-467.534161
445	H1C4N3O2	OCNCONCCNH	-467.58568
446	H1C4N3O2	OCNNONCCCH	-467.467716
447	H1C3N5O1	OCNNNCNCNH	-463.772855
448	H1C4N1O4	OCOCCOCNOH	-508.545976
449	H1C4N3O2	OCONCCNCNH	-467.586855
450	H1C4N3O2	OCONNCCCNH	-467.57303
451	H1C4N3O2	OCONNCNCCH	-467.522354
452	C3N4O2	OCONNCNCN	-483.614729
453	H1C3N3O3	OCONNCNCOH	-504.683836
454	H1C4N3O2	OCCCCNONNH	-467.504511
455	H1C3N3O3	OCCOCNONNH	-504.670383
456	H1C4N3O2	OCCCNNOCNH	-467.579509
457	H1C4N3O2	OCCCONNCNH	-467.578295
458	H1C4N3O2	OCCNCNOCNH	-467.597251
459	H1C4N3O2	OCCNONCCNH	-467.556318
460	H1C3N5O1	OCNNNCNCNH	-463.770387
461	H1C2N5O2	OCNNNCONNH	-500.837856
462	H1C3N1O5	OCOCNOCOOH	-545.711675
463	H1C2N5O2	OCNNNNOCNH	-500.856049
464	H1C3N1O5	OCNOCOCOOH	-545.698062
465	H1C3N1O5	OCOCCONOOH	-545.637264
466	H1C2N5O2	ONOCNCNNNH	-500.785388
467	C2N2O5	OCONCONOO	-561.651207
468	H1C4N1O2F2	FCCFCOOCNH	-557.846258
469	H1C4N1O2F2	FCCFCNCOOH	-557.837288
470	H1C4N1O2F2	FCCFNCCOOH	-557.831945
471	H1C4N1O2F2	FCNCOCFCOH	-557.837149
472	H1C4N1O2F2	FCCCONCFOH	-557.848826
473	C3N2O2F2	FCNCONCFO	-573.909889
474	H1C3N2O3F1	FCNCNOCOOH	-549.89415
475	H1C3N2O3F1	FCNCOOCNOH	-549.889677
476	H1C4N4F1	FCNCNCNCNH	-471.801359
477	H1C3N3O1F2	OCNCFNCFNH	-554.067156
478	C3N3F3	FCNCFNCFN	-578.08072
479	H1C4N2F3	FCCNCFCFNH	-561.998945
480	H1C4N2F3	FCCNCFNCFH	-562.002224
481	H1C4N2F3	FCNCNCFCFH	-561.996572
482	H1C4O4F1	FCCOCOCOOH	-553.692151
483	H1C4N1O2F2	FCCOCOCFNH	-557.837385
484	H1C3N3O1F2	FCCFCNONNH	-553.918747
485	H1C4N1O2F2	FCCFCOCNOH	-557.772638
486	C3N2O2F2	FCCFCOONN	-573.817896
487	H1C4N1O2F2	FCCCOCFNOH	-557.786392
488	H1C3N3O1F2	FCNCNCFNOH	-553.956954
489	H1C3N2O3F1	OCNCOCFNOH	-549.8336
490	H1C3N2O3F1	FCNOCNCOOH	-549.815316
491	H1C3N3O1F2	FCNOCNCFNH	-553.953099
492	H1C3N2O3F1	FCNOCNOCOH	-549.816534
493	C3N1O4F1	FCNOCOCOO	-569.710475
494	C3N2O2F2	FCNOCOCFN	-573.849178
495	H1C3N2O3F1	FCNOCOOCNH	-549.826798
496	C3N2O2F2	FCNONCFCO	-573.7851
497	H1C3N2O1F3	FCFFCCONNH	-599.072419
498	H1C3N2O1F3	FCFFCNOCNH	-599.091489
499	H1C3N2O1F3	FCFFCNONCH	-599.0526
500	C2N3O1F3	FCFFCNONN	-615.091269
